name,pc1,pc2,pc3
Anthony Morrow,1.52264752,5.259609609,-8.711000275
Victor Oladipo,-7.242099998,-13.39251222,10.54981595
Steven Adams,-11.77641154,15.62213462,-0.543670037
Nick Collison,5.560896494,16.06237022,-6.996730193
Russell Westbrook,41.93573408,-18.97654993,11.89757511
Andre Roberson,-19.61869204,9.226770705,-11.35941458
Bobby Brown,-17.36917594,-18.05641508,-0.380302211
Nene,16.98692996,9.843584479,2.140062174
Eric Gordon,6.728928721,-6.615200933,1.320434865
Ryan Anderson,12.44822432,8.362873564,-4.645314441
K.J. McDaniels,-20.74317394,-1.856678818,0.166482327
Corey Brewer,-12.00569226,-2.330382533,2.641877388
Patrick Beverley,-6.962873432,-4.28416357,-10.09584887
Trevor Ariza,-0.564463395,0.581116777,-5.289772869
James Harden,51.14944764,-4.372124157,-6.040559018
Thomas Robinson,-20.32909823,6.122777377,9.274278743
Tarik Black,-15.71378882,14.34130281,0.122862733
Jordan Clarkson,-6.652319828,-8.972679641,8.822240951
Timofey Mozgov,-9.222794467,12.66119301,3.24909745
Luol Deng,19.57763869,5.040781535,2.094956486
Lou Williams,17.76428766,-6.086126391,-2.878234866
Nick Young,-3.360888616,-1.487422688,2.168839041
Jose Calderon,32.27344329,-10.55150642,-18.7047443
Mike Conley,21.06716514,-10.52913618,-4.616877152
Chandler Parsons,4.532811527,-1.934063511,-2.294842253
Brandan Wright,0.90962425,18.20483452,0.128458995
JaMychal Green,-16.10907719,5.405420913,5.419475745
Tony Allen,-8.170904007,3.545484571,4.071648821
Marc Gasol,20.76585692,6.044868964,3.143402607
Zach Randolph,30.58300328,9.836024554,13.05160762
Vince Carter,-16.36108511,-0.515964705,-4.710387424
Matt Barnes,0.096604405,2.802840106,-8.924333638
Anthony Tolliver,-10.4828055,5.753308162,-14.21544547
Garrett Temple,-20.60907761,-4.917710725,-8.301598439
Arron Afflalo,6.56200793,2.081152327,-6.053862766
Kosta Koufos,-9.092488388,15.03524933,2.935218246
Omri Casspi,-9.735092157,1.67890501,-2.965659401
Darren Collison,10.44942599,-10.66858014,-1.653716485
Rudy Gay,11.23596228,-0.480131958,10.55814851
Ben McLemore,-16.97217078,-2.36526104,-3.09594845
DeMarcus Cousins,7.638811734,-3.762480197,27.12812359
Jordan Hill,-7.412441401,9.257358801,8.241717489
Brandon Rush,-17.27878073,0.533520015,-7.534550702
Cole Aldrich,-15.54737476,9.101827325,1.411909384
Zach LaVine,-9.339323609,-14.15360437,5.28338319
Andrew Wiggins,-2.260485723,-2.222963036,16.80202094
Nikola Pekovic,0.605574045,12.99955269,13.9760272
Gorgui Dieng,-8.208658675,8.057795341,1.875816997
Shabazz Muhammad,-8.435460606,5.591928451,9.130352366
Ricky Rubio,-2.725664126,-24.97382362,-2.532632723
Mike Miller,21.42538623,1.36464705,-13.69755403
Darrell Arthur,-16.2695652,2.800507807,4.495274277
Will Barton,-13.11889096,-5.051419788,3.917478883
Jameer Nelson,14.01645121,-15.58310182,-5.058369255
Jusuf Nurkic,-17.1110734,2.831746777,15.21502913
Gary Harris,-15.90287417,-1.450546673,-2.978618042
Kenneth Faried,5.690534745,14.53169796,9.091300358
Wilson Chandler,-3.727314048,-0.207947992,3.347488961
Danilo Gallinari,13.11251104,4.346328542,-6.684250032
Leandro Barbosa,10.09792465,-2.008232311,-3.48503499
Jared Dudley,6.988016818,7.403558988,-13.32399498
John Jenkins,-16.8619409,-2.370881301,-6.277288602
Brandon Knight,-3.778794385,-17.90274945,7.217133359
Tyson Chandler,28.63459308,26.47618453,-10.65593667
Alex Len,-18.36572172,7.475195974,6.169078091
P.J. Tucker,-10.11510317,6.013144467,-6.560255915
Eric Bledsoe,-2.061616745,-14.66014506,4.455249351
Dirk Nowitzki,-4.02415937,-4.170126773,11.60534778
Dwight Powell,-14.25477215,9.422473122,1.113287462
Deron Williams,48.14148587,-15.88467304,-8.343371905
Harrison Barnes,-8.112702495,4.133142418,-2.218826675
J.J. Barea,-1.357557209,-17.99230594,-0.241087233
Wesley Matthews,10.77102109,2.423992455,-8.415108335
Devin Harris,19.85507235,-9.963621859,-5.081804495
Andrew Bogut,3.031751934,7.796396074,4.493072459
Solomon Hill,-17.91060844,-1.17826364,-5.578303796
Terrence Jones,-7.350577655,8.361616732,4.826494758
Langston Galloway,-13.61650212,-7.76253389,-2.870228282
E'Twaun Moore,-16.6115503,-6.408205448,-2.990491712
Dante Cunningham,-13.23770702,7.782419229,-2.650001886
Omer Asik,-13.71373308,14.30196924,0.912447985
Alexis Ajinca,-14.8866974,7.144987171,5.768205451
Tyreke Evans,6.682655496,-14.42058179,12.67528027
